seed,protocol,fold_or_condition,partition,class,n,raw_mean,raw_sd,raw_q25,raw_median,raw_q75,latent_mean,latent_sd,latent_q25,latent_median,latent_q75
43,heldout_overlay,mixed_equipment_-6dB,train,coal,34,0.3114808821,0.0321060402,0.2850726442,0.3080947090,0.3319626682,0.2562482609,0.0298829815,0.2376732507,0.2544709367,0.2832506444
43,heldout_overlay,mixed_equipment_-6dB,train,empty,29,0.3754378384,0.0576664824,0.3441385896,0.3652985111,0.4017965214,0.3370790182,0.0376987746,0.3290007319,0.3391461868,0.3535592849
43,heldout_overlay,mixed_equipment_-6dB,train,gangue,40,0.7161906060,0.0468889713,0.6801215317,0.7093905594,0.7481459770,0.7876646806,0.0366675356,0.7580479519,0.7960301815,0.8164088916
43,heldout_overlay,mixed_equipment_0dB,test,coal,10,0.3225783752,0.0399880793,0.2956617202,0.3181105710,0.3520934148,0.3274515465,0.0252085475,0.3220564491,0.3354157649,0.3448628397
43,heldout_overlay,mixed_equipment_0dB,test,empty,9,0.4150113568,0.0523678408,0.3828661960,0.4139170567,0.4575275388,0.4123058358,0.0202756712,0.4026943385,0.4070954803,0.4211928560
43,heldout_overlay,mixed_equipment_0dB,test,gangue,11,0.7028604005,0.0387412069,0.6813900175,0.7065547646,0.7259524433,0.7586851034,0.0330467849,0.7353322991,0.7686742571,0.7819223315
43,heldout_overlay,mixed_equipment_0dB,train,coal,34,0.3018463367,0.0338327427,0.2835520478,0.3005308788,0.3236095995,0.2699652557,0.0346349205,0.2489599621,0.2691239934,0.2945514585
43,heldout_overlay,mixed_equipment_0dB,train,empty,29,0.3731937828,0.0399188410,0.3462470237,0.3754566533,0.3914005228,0.3367596319,0.0391762586,0.3017192493,0.3506908521,0.3694208359
43,heldout_overlay,mixed_equipment_0dB,train,gangue,40,0.7282167289,0.0404543035,0.7035230979,0.7236305489,0.7554653390,0.8103711836,0.0386757947,0.7961690720,0.8146206979,0.8317702111
44,event_disjoint,S0,test,coal,10,0.2889671789,0.0393948779,0.2627983493,0.2732791448,0.3139429029,0.2734299855,0.0350989263,0.2418080742,0.2741966427,0.3056670269
44,event_disjoint,S0,test,empty,9,0.3850013721,0.0543348412,0.3371761259,0.3761204434,0.4374925200,0.3904547077,0.0335055246,0.3570136786,0.3984341256,0.4094797422
44,event_disjoint,S0,test,gangue,11,0.7520857751,0.0442668869,0.7189169398,0.7426035634,0.7722429413,0.7731500311,0.0260568337,0.7629857208,0.7802158034,0.7846726655
44,event_disjoint,S0,train,coal,34,0.3053541887,0.0351379523,0.2832947148,0.3063995306,0.3239425846,0.2559949838,0.0315123747,0.2337345514,0.2560878115,0.2732390517
44,event_disjoint,S0,train,empty,29,0.3544869815,0.0450947977,0.3326222772,0.3549507094,0.3765966767,0.3378630868,0.0403816242,0.3109874267,0.3366990326,0.3675021344
